2013-03-21 10:56:56|vdc_db_query|00299|1062|Duplicate entry '1363877797.20904' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877797.20904' where lead_id='1010942378' and uniqueid LIKE "1363877797%";|5311|192.168.1.239|1363877518_5112778778|
2013-03-21 10:57:09|vdc_db_query|00299|1062|Duplicate entry '1363877677.20468' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877677.20468' where lead_id='1010991915' and uniqueid LIKE "1363877677%";|5998|192.168.1.239|1363877040_1116511673|
2013-03-21 10:57:30|vdc_db_query|00299|1062|Duplicate entry '1363877737.20689' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877737.20689' where lead_id='1010991935' and uniqueid LIKE "1363877737%";|6045|192.168.1.249|1363870862_13110905999|
2013-03-21 10:58:14|vdc_db_query|00299|1062|Duplicate entry '1363877868.23611' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877868.23611' where lead_id='1010994857' and uniqueid LIKE "1363877868%";|6012|192.168.1.106|1363877737_1112321807|
2013-03-21 10:59:11|vdc_db_query|00299|1062|Duplicate entry '1363877931.29516' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877931.29516' where lead_id='1010931971' and uniqueid LIKE "1363877931%";|6063|192.168.1.239|1363869608_8114569273|
2013-03-21 10:59:20|vdc_db_query|00299|1062|Duplicate entry '1363877916.23846' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877916.23846' where lead_id='1010947192' and uniqueid LIKE "1363877916%";|6079|192.168.1.106|1363877786_4113301738|
2013-03-21 11:00:08|vdc_db_query|00299|1062|Duplicate entry '1363877978.29739' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877978.29739' where lead_id='1010935946' and uniqueid LIKE "1363877978%";|5910|192.168.1.239|1363870771_2118668615|
2013-03-21 11:00:16|vdc_db_query|00299|1062|Duplicate entry '1363877997.29839' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877997.29839' where lead_id='1010936326' and uniqueid LIKE "1363877997%";|5974|192.168.1.239|1363871119_6114569164|
2013-03-21 11:00:23|vdc_db_query|00299|1062|Duplicate entry '1363877893.23743' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877893.23743' where lead_id='1010994864' and uniqueid LIKE "1363877893%";|5953|192.168.1.106|1363870916_5118911709|
2013-03-21 11:01:03|vdc_db_query|00299|1062|Duplicate entry '1363878016.21589' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363878016.21589' where lead_id='1010992033' and uniqueid LIKE "1363878016%";|5974|192.168.1.239|1363871119_6114569164|
2013-03-21 11:01:20|vdc_db_query|00299|1062|Duplicate entry '1363877946.2682' for key 'PRIMARY'|UPDATE vicidial_carrier_log set uniqueid='1363877946.2682' where lead_id='1010992014' and uniqueid LIKE "1363877946%";|6063|192.168.1.239|1363869608_8114569273|
